total_cmp,total_att,total_cmp_1,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_1,medium_cmp,medium_att,medium_cmp_1,long_cmp,long_att,long_cmp_1,expected_xa,expected_axag
4962,5971,83.1,86721,26240,2167,2395,90.5,2349,2621,89.6,364,719,50.6,12.6,2.5
4295,5223,82.2,76011,25722,1904,2076,91.7,1912,2158,88.6,390,743,52.5,7.8,2.9
4008,5131,78.1,70600,24518,1784,2009,88.8,1738,2015,86.3,387,814,47.5,8.2,2.9
3271,4362,75.0,60723,23464,1384,1612,85.9,1415,1699,83.3,389,825,47.2,8.2,-1.9
4169,5133,81.2,73150,25157,1898,2101,90.3,1814,2065,87.8,367,700,52.4,8.8,-0.1
3179,4218,75.4,55549,20577,1547,1742,88.8,1223,1467,83.4,312,719,43.4,6.5,4.7
5357,6331,84.6,91814,28101,2503,2721,92.0,2367,2618,90.4,392,750,52.3,13.5,-1.2
3257,4342,75.0,59953,23051,1367,1583,86.4,1482,1734,85.5,351,796,44.1,10.7,-6.2
3601,4676,77.0,65972,23831,1548,1762,87.9,1622,1912,84.8,365,767,47.6,10.8,-2.2
4248,5284,80.4,75390,26006,1841,2064,89.2,1918,2184,87.8,403,772,52.2,8.1,-1.9
4152,5179,80.2,74459,25253,1761,1979,89.0,1882,2131,88.3,389,780,49.9,7.1,-4.8
5156,6217,82.9,88382,29802,2436,2686,90.7,2222,2506,88.7,403,770,52.3,10.6,-2.0
5518,6399,86.2,85524,26406,2963,3195,92.7,2097,2323,90.3,294,552,53.3,13.1,2.7
4116,5241,78.5,72546,26329,1924,2184,88.1,1631,1928,84.6,432,834,51.8,10.9,0.8
4195,5323,78.8,74467,27118,1874,2140,87.6,1865,2163,86.2,382,798,47.9,8.7,-3.8
4541,5626,80.7,78653,27499,2122,2346,90.5,1983,2269,87.4,364,789,46.1,9.1,-4.8
3522,4579,76.9,63436,22714,1547,1749,88.5,1518,1782,85.2,366,794,46.1,5.6,2.2
4273,5318,80.3,77853,26121,1731,1930,89.7,2088,2346,89.0,385,812,47.4,7.2,7.5
3821,4834,79.0,65371,22550,1822,2017,90.3,1534,1767,86.8,346,757,45.7,6.8,-1.2
3895,4976,78.3,74597,25923,1545,1801,85.8,1856,2141,86.7,437,857,51.0,6.9,-1.9
