playing_time_mp,playing_time_min,playing_time_mn_mp,playing_time_min_1,playing_time_90s,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success,team_success_90,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg,team_success_xg_xg_90
11,990,90,100,11.0,121,81,73,48,23,51,2.36,20,5,15,1.36,18.8,6.0,12.8,1.16
11,990,90,100,11.0,121,82,72,51,20,48,1.64,13,10,3,0.27,9.1,14.5,-5.4,-0.49
11,990,90,100,11.0,121,81,68,54,19,45,1.64,17,18,-1,-0.09,13.2,14.9,-1.7,-0.16
11,990,90,100,11.0,121,84,72,49,15,50,1.45,17,17,0,0.0,16.3,13.3,3.0,0.27
11,990,90,100,11.0,121,81,69,52,21,47,1.45,17,15,2,0.18,16.6,13.0,3.6,0.33
11,990,90,100,11.0,121,84,72,48,15,51,0.91,14,22,-8,-0.73,8.2,23.4,-15.3,-1.39
11,990,90,100,11.0,121,78,68,51,26,48,1.82,21,11,10,0.91,20.4,13.4,6.9,0.63
11,990,90,100,11.0,121,86,88,33,15,66,1.55,14,9,5,0.45,19.0,12.6,6.4,0.58
11,990,90,100,11.0,121,85,85,36,17,63,1.36,12,13,-1,-0.09,14.8,15.2,-0.4,-0.04
11,990,90,100,11.0,121,81,68,54,21,45,1.0,12,16,-4,-0.36,10.7,14.4,-3.7,-0.34
11,990,90,100,11.0,121,83,72,50,17,49,1.0,10,20,-10,-0.91,12.7,14.6,-1.9,-0.17
11,990,90,100,11.0,121,82,73,48,21,51,1.64,18,17,1,0.09,17.7,13.9,3.8,0.35
11,990,90,100,11.0,121,82,74,47,19,52,2.0,23,8,15,1.36,19.3,10.3,9.0,0.82
11,990,90,100,11.0,121,81,72,48,21,51,1.64,19,18,1,0.09,18.2,16.4,1.8,0.17
11,990,90,100,11.0,121,81,69,50,21,49,1.09,11,14,-3,-0.27,12.8,11.1,1.7,0.16
11,990,90,100,11.0,121,81,75,46,23,53,0.82,10,20,-10,-0.91,13.5,16.6,-3.1,-0.28
11,990,90,100,11.0,121,82,77,43,21,56,1.73,14,10,4,0.36,10.2,13.2,-2.9,-0.27
11,990,90,100,11.0,121,83,71,51,17,47,1.64,19,10,9,0.82,11.0,15.2,-4.2,-0.38
11,990,90,100,11.0,121,82,80,40,23,59,0.91,13,23,-10,-0.91,12.3,16.3,-4.0,-0.37
11,990,90,100,11.0,121,79,68,51,24,48,0.18,7,25,-18,-1.64,9.6,16.0,-6.4,-0.58
