squad,poss,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_1,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr
Arsenal,58.5,7194,610,1899,3339,2015,354,7192,195,85,43.6,87,44.6,4101,22034,11510,218,166,58,170,84,4889,478
Aston Villa,53.7,6405,875,2187,2741,1526,231,6405,188,63,33.5,100,53.2,3705,18606,9366,161,103,33,147,117,4206,394
Bournemouth,50.5,6522,691,2103,2833,1663,235,6519,221,89,40.3,106,48.0,3610,19648,10407,185,156,42,160,96,3972,384
Brentford,43.5,5675,774,2163,2354,1224,244,5671,189,71,37.6,98,51.9,2585,13927,6927,143,93,46,161,80,3231,276
Brighton,48.8,6445,780,2279,2815,1421,248,6442,201,92,45.8,91,45.3,3782,19991,10880,199,108,63,190,116,4128,374
Burnley,38.8,5575,811,2080,2385,1148,161,5575,126,43,34.1,64,50.8,2799,11929,6104,98,79,24,153,83,3166,255
Chelsea,59.3,7510,707,2213,3545,1820,276,7509,227,90,39.6,103,45.4,4670,22305,11901,229,128,60,168,101,5308,461
Crystal Palace,42.0,5675,759,2189,2390,1159,254,5673,119,44,37.0,55,46.2,2839,13657,7230,127,95,28,147,91,3240,330
Everton,45.2,6009,683,1992,2427,1648,261,6008,216,78,36.1,106,49.1,3403,16526,7946,168,137,50,181,96,3571,360
Fulham,50.3,6524,847,2460,2661,1462,246,6524,175,71,40.6,82,46.9,3800,20255,10620,214,134,47,179,79,4216,381
Leeds United,48.2,6463,700,2238,2975,1324,221,6462,195,67,34.4,104,53.3,3510,18516,9925,167,122,51,159,101,4120,331
Liverpool,60.5,7513,729,2244,3368,1955,318,7512,189,76,40.2,91,48.1,4487,22876,12544,266,171,70,175,92,5103,542
Manchester City,56.6,7634,701,2207,3503,1976,320,7633,256,119,46.5,105,41.0,4807,24898,13264,294,201,95,159,107,5476,423
Manchester Utd,50.5,6551,712,2004,3041,1558,257,6548,168,64,38.1,89,53.0,3375,16646,8651,190,122,56,187,97,4079,414
Newcastle Utd,51.2,6566,656,2008,2918,1706,258,6565,181,70,38.7,86,47.5,3871,17771,8669,181,111,48,167,91,4166,505
Nott'ham Forest,52.5,6851,675,2159,2930,1827,238,6850,171,74,43.3,83,48.5,3822,19167,10063,195,160,43,177,74,4507,483
Sunderland,43.4,5811,728,2035,2588,1249,183,5810,137,62,45.3,65,47.4,3277,16390,8475,136,115,22,127,81,3476,318
Tottenham,53.7,6652,760,2320,2808,1599,254,6652,253,108,42.7,118,46.6,3622,19780,9625,200,129,51,199,108,4225,394
West Ham,46.0,6141,767,2110,2698,1386,189,6140,188,68,36.2,95,50.5,3025,16496,8118,128,112,35,153,85,3785,343
Wolves,47.2,6290,782,2172,2810,1373,226,6289,147,64,43.5,69,46.9,3293,17213,8501,158,118,26,180,91,3861,335
