squad,standard_gls,standard_sh,standard_sot,standard_sot_1,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg_sh,expected_gxg,expected_npgxg
Arsenal,20,160,49,30.6,14.55,4.45,0.11,0.37,15.1,3,2,2,18.8,17.2,0.11,1.2,0.8
Aston Villa,13,119,39,32.8,10.82,3.55,0.11,0.33,17.9,3,0,0,9.1,9.1,0.08,3.9,3.9
Bournemouth,17,130,47,36.2,11.82,4.27,0.12,0.34,19.3,9,1,2,13.2,11.6,0.09,3.8,4.4
Brentford,17,113,44,38.9,10.27,4.0,0.12,0.32,14.8,1,3,4,16.3,13.2,0.12,0.7,0.8
Brighton,17,130,47,36.2,11.82,4.27,0.12,0.32,19.3,6,2,3,16.6,14.3,0.11,0.4,0.7
Burnley,14,90,35,38.9,8.18,3.18,0.16,0.4,17.9,7,0,0,8.2,8.2,0.09,5.8,5.8
Chelsea,21,157,60,38.2,14.27,5.45,0.13,0.33,16.8,7,1,1,20.4,19.6,0.13,0.6,0.4
Crystal Palace,13,133,45,33.8,12.09,4.09,0.08,0.24,16.3,1,2,2,19.0,17.5,0.13,-6.0,-6.5
Everton,12,121,34,28.1,11.0,3.09,0.09,0.32,16.5,6,1,1,14.8,14.0,0.12,-2.8,-3.0
Fulham,9,121,34,28.1,11.0,3.09,0.07,0.26,16.8,3,0,0,10.7,10.7,0.09,-1.7,-1.7
Leeds United,10,131,37,28.2,11.91,3.36,0.07,0.24,16.3,4,1,1,12.7,12.0,0.1,-2.7,-3.0
Liverpool,18,162,45,27.8,14.73,4.09,0.1,0.38,17.2,5,1,1,17.7,17.0,0.11,0.3,0.0
Manchester City,21,151,54,35.8,13.73,4.91,0.14,0.39,16.1,3,0,1,19.3,18.5,0.12,1.7,2.5
Manchester Utd,17,155,53,34.2,14.09,4.82,0.1,0.3,16.5,2,1,3,18.2,15.9,0.11,-1.2,0.1
Newcastle Utd,11,130,39,30.0,11.82,3.55,0.08,0.26,18.6,1,1,1,12.8,12.0,0.1,-1.8,-2.0
Nott'ham Forest,10,130,42,32.3,11.82,3.82,0.07,0.21,16.7,1,1,1,13.5,12.7,0.1,-3.5,-3.7
Sunderland,13,110,29,26.4,10.0,2.64,0.11,0.41,15.6,1,1,1,10.2,9.5,0.09,2.8,2.5
Tottenham,18,107,38,35.5,9.73,3.45,0.17,0.47,15.2,3,0,0,11.0,11.0,0.1,7.0,7.0
West Ham,12,114,43,37.7,10.36,3.91,0.1,0.26,16.1,3,1,1,12.3,11.5,0.11,-0.3,-0.5
Wolves,6,104,34,32.7,9.45,3.09,0.05,0.15,17.5,6,1,1,9.6,8.9,0.09,-3.6,-3.9
